ftc.delta_t,ftc.goal_count,config.dummy,action.delta,state.value,reward,terminal,time,simulator,predict,sim_id,statistics.episode_reward,statistics.episode_count,statistics.episode_rate,statistics.iteration_count,statistics.iteration_rate
,,,,,,,,,,,,,,,
-4436820.0,,,,,,,,,,,,,,,
605.0,0,,0,2,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,18,27,2,96
486.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,18,27,3,97
463.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,18,27,4,98
444.0,1,,1,3,1,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,18,27,5,100
462.0,,,,,,,,,,,,,,,
245.0,,-1,,1,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,19,28,0,100
369.0,0,,1,2,0,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,19,28,1,101
443.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,19,28,2,102
492.0,1,,-1,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,19,28,3,104
587.0,1,,0,0,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,3,19,28,4,102
2339.0,2,,1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,5,19,28,5,103
482.0,2,,-1,0,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,7,19,28,6,105
484.0,2,,-1,-1,2,True,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,9,19,28,7,106
505.0,,,,,,,,,,,,,,,
270.0,,-1,,2,,,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,0,20,28,0,106
411.0,1,,-1,1,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,1,20,28,1,107
507.0,1,,1,2,1,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,2,20,28,2,109
730.0,2,,-1,1,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,4,20,28,3,110
700.0,2,,1,2,2,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,6,20,28,4,111
931.0,3,,-1,1,3,False,2018-07-17 16:46:31,find_the_center_sim,False,3928866344,9,20,28,5,112
757.0,,,,,,,,,,,,,,,
